pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed,temp_gradient,sound_speed_gradient,is_thermocline,is_sound_channel
0.5,28.662,33.908,-4.006523333333333,76.29734,34.06817427590386,28.715177484874488,1021.3593986799572,1541.3833862489444,0.0030000000000001137,0.026279180450046624,False,False
1.5,28.665,33.911,-4.006523333333333,76.29734,34.07118817479978,28.71782254974806,1021.36494528031,1541.4096654293944,0.0030000000000001137,0.024706835769734425,False,False
2.5,28.668,33.911,-4.006523333333333,76.29734,34.07118955814313,28.720591574261167,1021.3682418525068,1541.4327999204838,0.0039999999999995595,0.02686373717619972,False,False
3.5,28.673,33.914,-4.006523333333333,76.29734,34.07420729012344,28.725244260209475,1021.3731285080064,1541.4633929037468,0.002000000000000668,0.023079444469658483,False,False
4.5,28.672,33.915,-4.006523333333333,76.29734,34.0752128456032,28.723959248842643,1021.3784982042976,1541.4789588094231,-9.09090909093635e-05,0.016572136996956033,False,False
5.6,28.673,33.914,-4.006523333333333,76.29734,34.07421019540153,28.72474017321241,1021.3821347024738,1541.4984057000174,0.0009567099567089343,0.01827984407918848,False,False
6.6,28.674,33.914,-4.006523333333333,76.29734,34.07421157886734,28.72550309948642,1021.3860923455862,1541.51723177376,0.0005000000000006111,0.01774928599240866,False,False
7.6,28.674,33.914,-4.006523333333333,76.29734,34.07421296233316,28.72526304273205,1021.3903807788084,1541.5339042720022,0.0,0.01667244381008004,False,False
8.5,28.674,33.914,-4.006523333333333,76.29734,34.07421420745253,28.725046988600827,1021.3942402943304,1541.5489094273412,1.7763568394002505e-15,0.016672344167204756,False,False
9.5,28.674,33.914,-4.006523333333333,76.29734,34.07421559091834,28.72480692511463,1021.398528561363,1541.5655817152265,-0.0005000000000006111,0.016118855776653618,False,False
10.5,28.673,33.915,-4.006523333333333,76.29734,34.07522140663695,28.723521908793263,1021.4038979419996,1541.5811471388945,0.00011111111111006267,0.017407536648647692,False,False
11.4,28.674,33.915,-4.006523333333333,76.29734,34.075223119781754,28.72430877303857,1021.4074266544986,1541.5983060333926,0.0010202020202019213,0.018869607093733975,False,False
12.5,28.675,33.915,-4.006523333333333,76.29734,34.07522521362701,28.72504760224338,1021.4118129467872,1541.6187993169765,-0.002186147186145959,0.016349579488291965,False,False
13.5,28.67,33.923,-4.006523333333333,76.29734,34.08326432931735,28.719454876544823,1021.4237600446518,1541.633075552542,-0.0024999999999995026,0.015997453731301903,False,False
14.5,28.67,33.924,-4.006523333333333,76.29734,34.08427040575196,28.719172805805144,1021.4287983248348,1541.650794224439,-0.0010000000000012221,0.016609236429189878,False,False
15.5,28.668,33.927,-4.006523333333333,76.29734,34.08728482739216,28.716799035897346,1021.4359991599332,1541.6662940254005,-0.01439766081871241,-0.004916462607752692,False,False
16.4,28.645,33.94,-4.006523333333333,76.29734,34.100348450346075,28.6929591207427,1021.4572288130828,1541.6453320355622,-0.02496031746031946,-0.02252336590493087,False,False
17.6,28.616,33.956,-4.006523333333333,76.29734,34.11642899701745,28.66289949809187,1021.4839807667248,1541.619532370741,-0.02571212121212163,-0.02390380172789719,False,False
18.6,28.589,33.971,-4.006523333333333,76.29734,34.131501159063184,28.634940933418022,1021.5084551522528,1541.5936251681435,-0.04261403508771622,-0.05019016018923139,False,False
19.5,28.538,34.0,-4.006523333333333,76.29734,34.16063921628001,28.582339379550188,1021.5509344087396,1541.5287848283238,-0.08968857780482953,-0.1318920220087918,True,False
24.8,27.032,34.637,-4.006523333333333,76.29734,34.80067201245879,27.04473510761078,1022.5420442627282,1538.961859503194,-0.30790810047862593,-0.57881070708207,True,False
35.1,23.385,35.233,-4.006523333333333,76.29734,35.39954970428376,23.3667217244649,1024.153343023089,1531.1088012742534,-0.23814271055331915,-0.5285131797626121,True,False
45.3,22.127,35.237,-4.006523333333333,76.29734,35.403664580028845,22.10535299809568,1024.5622046462076,1528.080782492925,-0.1171622474747478,-0.2887698854494687,True,False
54.9,21.058,35.195,-4.006523333333333,76.29734,35.36156718393033,21.03512451518268,1024.8692962289188,1525.3817295965357,-0.119360289115646,-0.30569428876019344,True,False
64.9,19.781,35.189,-4.006523333333333,76.29734,35.35563203492297,19.75580319480369,1025.2511090497458,1522.0691310278264,-0.09520436808386701,-0.24508333515315428,True,False
75.1,19.148,35.185,-4.006523333333333,76.29734,35.351710934062545,19.120890139926463,1025.4575626151627,1520.465861541216,-0.06260307198410797,-0.16208396451099816,True,False
85.0,18.523,35.15,-4.006523333333333,76.29734,35.316687760172044,18.49509037306668,1025.6337523262637,1518.8141405087538,-0.07107553423684076,-0.19025677574981614,True,False
95.0,17.732,35.139,-4.006523333333333,76.29734,35.3057829288784,17.702681505968766,1025.8663897782171,1516.6750447975155,-0.08316204906204894,-0.22683115780148455,True,False
104.8,16.878,35.158,-4.006523333333333,76.29734,35.32501795445925,16.846678295173557,1026.1308989895103,1514.3280005326087,-0.08047226890756298,-0.2228975810892848,True,False
115.0,16.128,35.163,-4.006523333333333,76.29734,35.33018506453032,16.09520031626444,1026.356163974918,1512.230641528102,-0.0635670355270821,-0.17749044724877194,True,False
125.0,15.59,35.158,-4.006523333333333,76.29734,35.32530728303876,15.556070033542047,1026.5200700088492,1510.7315506297869,-0.04639248312890998,-0.12813498456341677,False,False
135.1,15.197,35.148,-4.006523333333333,76.29734,35.31538128682437,15.162048798292364,1026.6457230268156,1509.6595049335365,-0.03747524752475251,-0.1025930071189265,False,False
145.2,14.833,35.132,-4.006523333333333,76.29734,35.29942764304314,14.797222052687944,1026.7590538482043,1508.6591718859845,-0.04291787285589388,-0.1234877945112487,False,False
155.0,14.347,35.086,-4.006523333333333,76.29734,35.25330770912263,14.311354085625563,1026.8732240879724,1507.2165469478657,-0.04758394051359971,-0.13999843907137688,False,False
164.9,13.896,35.069,-4.006523333333333,76.29734,35.23630532662087,13.859789454545032,1027.0006689542004,1505.902651629025,-0.04329565456545659,-0.12576427240817623,False,False
175.0,13.482,35.059,-4.006523333333333,76.29734,35.22633397099586,13.44506371714198,1027.1249182236177,1504.7040705609,-0.02767915373626917,-0.07355310640110702,False,False
185.0,13.337,35.08,-4.006523333333333,76.29734,35.24748439256403,13.298348445436137,1027.2157800258572,1504.4152552046369,-0.02907946815089646,-0.07998774090476957,False,False
